"Date","Roost","Group","Age","Sex","Band","ID","switch_w","potential","n.days"
3841.20833333333,"R10",1,"A","F",516,"F516",0,1,2
3841.20833333333,"R10",1,"A","F",519,"F519",1,2,36
3841.20833333333,"R10",1,"A","F",540,"F540",0,1,2
3841.20833333333,"R10",1,"A","F",599,"F599",1,2,3
3841.20833333333,"R10",1,"A","M",513,"M513",0,1,2
3841.20833333333,"R10",1,"J","M",569,"M569",1,2,33
3841.20833333333,"R18",2,"A","M",689,"M689",1,2,14
3841.20833333333,"R3A",4,"A","F",570,"F570",1,2,3
3841.20833333333,"R3A",4,"A","F",571,"F571",1,2,3
3841.20833333333,"R3A",4,"A","F",572,"F572",1,2,3
3841.20833333333,"R3A",4,"A","F",577,"F577",1,2,3
3841.20833333333,"R3A",4,"A","F",578,"F578",1,2,3
3841.20833333333,"R3A",4,"A","F",583,"F583",1,2,3
3841.20833333333,"R3A",4,"A","F",589,"F589",1,2,3
3841.20833333333,"R3A",4,"A","F",599,"F599",1,1,0
3841.20833333333,"R3A",4,"A","M",533,"M533",1,2,14
